specialization,title,company,salary,location,office,remote,years_of_experience,skills
python,Python Developer,"Будыкин С.А., ФЛП",0,0,0,1,0,"Відповідальність,Уважність"
python,Senior Python Engineer,UKEESS Software House,0,0,0,1,5,"SQL,Git,Python,Jenkins,AWS,Terraform,NoSQL,CI/CD"
python,"Вчитель з програмування (створення ігор, веброзробка, Minecraft, Roblox Studio, Python)",ITishniki school,10000–20000,0,0,1,1,"Відповідальність,Доброзичливість,Python,HTML,CSS,JavaScript,Roblox Studio,Unity,Терпіння,Уміння мотивувати,Організованість,Креативність"
python,"Програміст для розробки інтерфейсів вимірювальних приладів (Raspberry Pi, C#, Python)","Новотест, ООО",40000–80000,Дніпро,1,0,0,"Відповідальність,Самостійність"
python,Python developer (FastAPI),Halo Lab,0,0,0,1,1,"SQL,Git,JavaScript,Python,PostgreSQL,React,Docker,TypeScript,Робота з базою даних,AWS,Frontend-розробка,NoSQL,Backend-розробка,FastAPI,CI/CD,Застосування штучного інтелекту"
python,"Python, AI Chatbot Developer",OnLifeTime,40000–100000,0,0,1,1,"JavaScript,Ведення CRM,Python,Аналітичне мислення,UX-дизайн,Zapier,Самостійність,Бажання вчитися і розвиватися,LangChain"
python,Спеціаліст з автоматизації процесів (Python),"AMZ, Recruiting Agency",0,0,0,1,0,"Відповідальність,Організованість,Уважність,AI,Selenium,Python,n8n"
python,"Викладач курсу Python для дітей (9-16 р., онлайн)",Академія покоління IT,25000–45000,0,0,1,1,Відповідальність
python,"Програміст С, С++, Python",6 центр рекрутингу Сил Безпілотних Систем (СБС),50000,Вся Україна,1,0,1,0
python,Python Developer (Odoo),ToDo,0,0,0,1,1,"Користувач ОС Linux,Python,PostgreSQL,JSON,Відповідальність,Docker,Робота в команді,REST API,REST,Програмування,Odoo"
python,Embedded Software Engineer (Python/C++),Око Камера,0,Київ,1,0,2,"Користувач ОС Linux,Git,Python,C++,Керування транспортними засобами,Проєктування,Орієнтація на результат,CMake,OpenCV,Продуктивність,Знання архітектури ARM,CI/CD,C/C++"
python,Junior Python Developer,SoftSvit,0,Київ,1,0,0,"JavaScript,PHP,MySQL,WordPress,Python,Відповідальність,Здатність до навчання,Selenium,Beautiful Soup,Проактивність,Розробка API"
python,Python Developer (Intern),HYS Enterprise,0,0,0,1,0,"SQL,Git,Python,Google Sheets,Django,Знання принципів ООП,NoSQL,Rag,LLM,ML,AI"
python,"Middle FullStack, Python Developer",Nix,0,0,0,1,2,"JavaScript,MySQL,Python,PostgreSQL,React,Agile,Відповідальність,Docker,TypeScript,Django Rest Framework,Vue.js,Здатність до навчання,REST,Flask,AWS,Kubernetes,Backend-розробка,FastAPI,Комунікабельність"
